country,total_cases,total_deaths,total_recovered,active_cases,total_test,population
USA,1.0,1.0,1.0,0.15897085062219826,1.0,0.2380191281844041
India,0.42883039580388105,0.4684646515466465,0.4357390256735852,0.00016023566237770732,0.7891360577882114,1.0
France,0.3793234030017182,0.14496242061548104,0.3875194343021326,0.008722298175650789,0.23407702931260485,0.046625221411179044
Germany,0.36258126636757637,0.14626699678269275,0.36909864069164544,0.019723320944818854,0.10547416555418508,0.05963436731006992
Brazil,0.3534134945492021,0.6152815474850719,0.35450441010900424,0.019003127836650563,0.05498738495192892,0.15309876875694867
Japan,0.31275835232494925,0.060373278255151444,0.21285860112462965,1.0,0.07944649316093291,0.08928053534886161
S. Korea,0.28980779420062347,0.02955685895483854,0.2935260688023569,0.03859378643535272,0.013626159433295293,0.036491354650017516
Italy,0.2442855281545155,0.1649106082873245,0.24688412859264353,0.02300545860359596,0.22889357388075457,0.04284189439496922
UK,0.23296629986609194,0.1802142223516795,0.23706503352025116,0.004574431428175437,0.4505188424683109,0.04869640240517359
Russia,0.21074235675594666,0.34874728029410335,0.21077203182514367,0.018952546322714807,0.23572365648097074,0.10365608788863305
Turkey,0.16356267985667436,0.08958325058366103,0.0,0.0,0.14031624728863154,0.06082755804316481
Spain,0.13178394749261915,0.10453733003217307,0.13380701885407228,0.005053129763130605,0.40612438029089193,0.03321348400990481
Vietnam,0.11062236849065772,0.03811869171664747,0.10473932026676844,0.07951003130027907,0.0739990772410371,0.07034786408806394
Australia,0.10840481597640528,0.01643077493413126,0.11089086887362219,0.003748875383036275,0.06797105257283409,0.018532776270795692
Argentina,0.09632853029653793,0.11511781346679201,0.09748086360718551,0.0027100369975470704,0.030794156473323512,0.03270950847622541
Taiwan,0.09184160028782443,0.014436838830118233,0.09010575992985743,0.03866555009952872,0.026044692089590624,0.016982834745800597
Netherlands,0.08236808028065645,0.020291543645487162,0.0843617899584061,0.001071889844053723,0.022403606546423236,0.01223592932682334
Iran,0.07259667220669307,0.12776461138547224,0.0724175656492801,0.007491542204795237,0.04692123785210229,0.06115519247305842
Mexico,0.07071467684207286,0.2932189401863302,0.06520382746312159,0.039207155768602536,0.016688782227354364,0.09353035687429259
Indonesia,0.06459200649969707,0.14194724322225016,0.06479498553824703,0.00038931331303620743,0.09842705854643366,0.19844177400411578
Poland,0.061232365782706535,0.10480389430991187,0.05266278770344426,0.08450481884787728,0.03286562854295986,0.026829896525812594
Colombia,0.06100283870369371,0.12576714462877395,0.060988269972342544,0.003133680002351949,0.031859342876818526,0.03662135526789066
Austria,0.05547407303729011,0.019144081522770504,0.056553808102716964,0.0025885135407808435,0.18215862324396534,0.006445688313527762
Greece,0.05478376430091134,0.03144928879414971,0.05588291256796263,0.0009549315058737554,0.08814061446185549,0.007334284050753592
Portugal,0.05339798352457007,0.022968661044102265,0.054601404092953276,0.00050389778955132,0.03958816804471156,0.007209114832338325
Ukraine,0.05153827290143956,0.09799326528000282,0.05184719617688338,0.000530375477351625,0.028110783210653096,0.03070606162674943
Chile,0.04912793146081106,0.056324502288304275,0.049856064449239,0.00032996677141483436,0.0414950379234831,0.013685312196445077
Malaysia,0.0483372358183245,0.032607342874922216,0.049247178662559184,0.0008938502191896038,0.05834038842425132,0.023589024907681312
Israel,0.045934053902739636,0.010762312047910958,0.04705992124436303,0.0005253538469067395,0.035671838489386105,0.006630022269595024
DPRK,0.04580568150731919,6.531707467771761e-05,0.04710430415652141,0.0,0.0,0.0184772443246725
Thailand,0.045365850578063506,0.02989138829676901,0.046313731683178566,4.409904554326646e-05,0.014890747012655952,0.04981986344662244
Belgium,0.045025293277563,0.029619528040002296,0.04584044225632619,0.001210760751447736,0.03151191086589482,0.008295190112355317
Czechia,0.04405136753838331,0.037347244104913344,0.04479055987992592,0.0008585162013319555,0.049052957405074114,0.007632974160822597
Canada,0.04366975333689531,0.04446857057112721,0.0438599596641541,0.005100424391684253,0.057200598156279404,0.027291022181486678
Peru,0.043011048241225244,0.1932423307603702,0.04203090402800736,0.0003653920916442078,0.032551766891541434,0.02394671340056518
Switzerland,0.04209048303722331,0.012756248151923985,0.04309761381495468,0.0004089433229571231,0.020105264683613903,0.006237337411038268
Philippines,0.03909378033440855,0.058081001999232086,0.039458530840335515,0.0008768679780487185,0.02961059178778321,0.07998468107974833
South Africa,0.0389259441762811,0.09055682806162754,0.038614278433875174,0.003731071420549863,0.022824886278273247,0.043192636507025706
Romania,0.03191076129974593,0.05964684646515466,0.032096474574587024,0.0004862764318083585,0.0227532716380722,0.013529720659459921
Denmark,0.030454297008731243,0.007189291530405539,0.03122544635298643,0.00011440187177166227,0.11134774553114657,0.004148171610762759
Hong Kong,0.027613837024026904,0.011790614642499348,0.024767214487869504,0.03236112133190439,0.06563349298420657,0.005406033853169545
Sweden,0.025849657114414278,0.020518388080516533,0.026233380353691247,0.0011114237710107301,0.016735626915371643,0.007264851522876446
Serbia,0.023716579317901876,0.015624020795544317,0.024086656762543002,0.001184191761275706,0.01047951676140003,0.006151585758005796
Iraq,0.0236623262413983,0.022397577972257898,0.02407649123007177,6.144649617105244e-05,0.01685109529492745,0.029975837116308683
Singapore,0.02127804124915247,0.0015199459810139153,0.021164934688575804,0.006473155550572475,0.021345032303577646,0.004225374473553767
Hungary,0.02104134504787745,0.04296539519036838,0.02111920953135326,0.00035726618056066594,0.009824310183969218,0.006829263467456319
New Zealand,0.020944489918198684,0.003337349450762842,0.021409993107275514,0.0008449121479449023,0.006648059793114348,0.003482221206411876
Bangladesh,0.01955482226834176,0.025987369090018402,0.019666791807990185,0.0014078825720024199,0.013145873776505309,0.1193529762831122
Slovakia,0.01785934884637978,0.018488262786479366,0.018152966372941667,5.825091316067081e-05,0.006372282083284877,0.003881750073588555
Georgia,0.01741103397591958,0.014939956837770923,0.017533549884177574,0.0018905069089417707,0.01458837926052263,0.002821447707719067
Jordan,0.016766264041594498,0.012464969305388218,0.017084085307214086,0.00017055283038265373,0.014831350514137392,0.007323074294036139
Ireland,0.016317651657359027,0.007469095755714141,0.01663182767618326,0.0006033260723600513,0.011194939783206436,0.0035689503718420194
Pakistan,0.015128172389385722,0.027044799569260373,0.015186012614201985,0.0006376557641287224,0.02635799331534441,0.1631478812831824
Norway,0.014183259041904296,0.004512174131790438,0.014526200470675996,8.299385589819712e-05,0.009486221762165058,0.003918132729570869
Finland,0.013998637348520382,0.007625327137037871,0.014286708421212964,0.00022013001822943155,0.010361590268659777,0.003949121649872355
Kazakhstan,0.013492844736121406,0.01208807213123436,0.013649645357634733,0.0008401644246151924,0.00997989814356662,0.013653212822059837
Slovenia,0.012686054558114498,0.006228071336837506,0.012940416882959754,0.0003320667259645137,0.0024355607935064917,0.00147731199838898
Lithuania,0.012446248858026964,0.00842501997025425,0.012657844688606498,0.0004375209653071074,0.008924364856596699,0.0018922564138064801
Bulgaria,0.012432438460523224,0.033699197217845686,0.012381134946959953,0.0002516293364746219,0.009473563901884162,0.0048659479451429654
Morocco,0.012209917351057118,0.014383879039839002,0.012394853481071616,5.75204941868693e-06,0.011148791747399972,0.02685333620673162
Croatia,0.012165194312580794,0.015779369513696725,0.012328599869926583,4.8846768872976306e-05,0.0047215284576405695,0.0028858199205077533
Lebanon,0.011791469024746773,0.009523935618548285,0.010733884430864258,0.011893229545666616,0.004134715366129117,0.004752380199322328
